"resp.id","domanda","profilo","n_film","tipo_film","h","qual_stream","qual_cine","prezzo","scelta","professione","sesso","et√."
2,12,3,4,"Animazione","15-19","4K","3D",60,0,"Studente","M","22-25"
2,13,1,7,"Indipendenti","15-19","FullHD","IMAX",60,0,"Studente","M","22-25"
2,13,2,7,"Commerciali","21-24","FullHD","Standard",80,0,"Studente","M","22-25"
2,13,3,7,"Indipendenti","21-24","FullHD","3D",40,1,"Studente","M","22-25"
2,14,1,7,"Commerciali","21-24","4K","Standard",80,0,"Studente","M","22-25"
2,14,2,10,"Indipendenti","9-13","FullHD","IMAX",40,0,"Studente","M","22-25"
2,14,3,4,"Commerciali","9-13","FullHD","Standard",40,1,"Studente","M","22-25"
2,15,1,10,"Animazione","21-24","FullHD","3D",80,1,"Studente","M","22-25"
2,15,2,10,"Animazione","9-13","4K","Standard",60,0,"Studente","M","22-25"
2,15,3,7,"Animazione","15-19","FullHD","Standard",40,0,"Studente","M","22-25"
2,16,1,10,"Animazione","9-13","FullHD","Standard",60,1,"Studente","M","22-25"
2,16,2,10,"Commerciali","15-19","FullHD","3D",40,0,"Studente","M","22-25"
2,16,3,10,"Indipendenti","15-19","4K","Standard",80,0,"Studente","M","22-25"
2,17,1,10,"Commerciali","15-19","4K","3D",40,0,"Studente","M","22-25"
2,17,2,4,"Indipendenti","21-24","FullHD","Standard",60,0,"Studente","M","22-25"
2,17,3,7,"Commerciali","9-13","4K","3D",60,1,"Studente","M","22-25"
2,18,1,4,"Commerciali","9-13","FullHD","Standard",40,0,"Studente","M","22-25"
2,18,2,7,"Animazione","9-13","FullHD","IMAX",80,1,"Studente","M","22-25"
2,18,3,7,"Animazione","9-13","4K","IMAX",80,0,"Studente","M","22-25"
3,19,1,10,"Commerciali","21-24","FullHD","IMAX",60,0,"Lavoratore Dipendente","M","26-30"
3,19,2,7,"Indipendenti","15-19","4K","IMAX",60,0,"Lavoratore Dipendente","M","26-30"
3,19,3,10,"Animazione","21-24","FullHD","3D",80,1,"Lavoratore Dipendente","M","26-30"
3,20,1,4,"Commerciali","15-19","FullHD","IMAX",80,0,"Lavoratore Dipendente","M","26-30"
3,20,2,7,"Indipendenti","21-24","4K","3D",40,1,"Lavoratore Dipendente","M","26-30"
3,20,3,10,"Animazione","9-13","FullHD","Standard",60,0,"Lavoratore Dipendente","M","26-30"
3,21,1,4,"Animazione","21-24","4K","IMAX",40,1,"Lavoratore Dipendente","M","26-30"
3,21,2,7,"Animazione","15-19","4K","Standard",40,0,"Lavoratore Dipendente","M","26-30"
3,21,3,4,"Animazione","15-19","4K","3D",60,0,"Lavoratore Dipendente","M","26-30"
3,22,1,7,"Indipendenti","15-19","FullHD","IMAX",60,0,"Lavoratore Dipendente","M","26-30"
3,22,2,7,"Commerciali","21-24","FullHD","Standard",80,0,"Lavoratore Dipendente","M","26-30"
3,22,3,7,"Indipendenti","21-24","FullHD","3D",40,1,"Lavoratore Dipendente","M","26-30"
3,23,1,7,"Commerciali","21-24","4K","Standard",80,1,"Lavoratore Dipendente","M","26-30"
3,23,2,10,"Indipendenti","9-13","FullHD","IMAX",40,0,"Lavoratore Dipendente","M","26-30"
3,23,3,4,"Commerciali","9-13","FullHD","Standard",40,0,"Lavoratore Dipendente","M","26-30"
3,24,1,10,"Animazione","21-24","FullHD","3D",80,1,"Lavoratore Dipendente","M","26-30"
3,24,2,10,"Animazione","9-13","4K","Standard",60,0,"Lavoratore Dipendente","M","26-30"
3,24,3,7,"Animazione","15-19","FullHD","Standard",40,0,"Lavoratore Dipendente","M","26-30"
3,25,1,10,"Animazione","9-13","FullHD","Standard",60,0,"Lavoratore Dipendente","M","26-30"
3,25,2,10,"Commerciali","15-19","FullHD","3D",40,1,"Lavoratore Dipendente","M","26-30"
3,25,3,10,"Indipendenti","15-19","4K","Standard",80,0,"Lavoratore Dipendente","M","26-30"
3,26,1,10,"Commerciali","15-19","4K","3D",40,1,"Lavoratore Dipendente","M","26-30"
3,26,2,4,"Indipendenti","21-24","FullHD","Standard",60,0,"Lavoratore Dipendente","M","26-30"
3,26,3,7,"Commerciali","9-13","4K","3D",60,0,"Lavoratore Dipendente","M","26-30"
3,27,1,4,"Commerciali","9-13","FullHD","Standard",40,0,"Lavoratore Dipendente","M","26-30"
3,27,2,7,"Animazione","9-13","FullHD","IMAX",80,0,"Lavoratore Dipendente","M","26-30"
3,27,3,7,"Animazione","9-13","4K","IMAX",80,1,"Lavoratore Dipendente","M","26-30"
4,28,1,10,"Commerciali","21-24","FullHD","IMAX",60,1,"Lavoratore Dipendente","F","51+"
4,28,2,7,"Indipendenti","15-19","4K","IMAX",60,0,"Lavoratore Dipendente","F","51+"
4,28,3,10,"Animazione","21-24","FullHD","3D",80,0,"Lavoratore Dipendente","F","51+"
4,29,1,4,"Commerciali","15-19","FullHD","IMAX",80,0,"Lavoratore Dipendente","F","51+"
4,29,2,7,"Indipendenti","21-24","4K","3D",40,1,"Lavoratore Dipendente","F","51+"
4,29,3,10,"Animazione","9-13","FullHD","Standard",60,0,"Lavoratore Dipendente","F","51+"
4,30,1,4,"Animazione","21-24","4K","IMAX",40,1,"Lavoratore Dipendente","F","51+"
4,30,2,7,"Animazione","15-19","4K","Standard",40,0,"Lavoratore Dipendente","F","51+"
4,30,3,4,"Animazione","15-19","4K","3D",60,0,"Lavoratore Dipendente","F","51+"
4,31,1,7,"Indipendenti","15-19","FullHD","IMAX",60,0,"Lavoratore Dipendente","F","51+"
4,31,2,7,"Commerciali","21-24","FullHD","Standard",80,1,"Lavoratore Dipendente","F","51+"
4,31,3,7,"Indipendenti","21-24","FullHD","3D",40,0,"Lavoratore Dipendente","F","51+"
4,32,1,7,"Commerciali","21-24","4K","Standard",80,1,"Lavoratore Dipendente","F","51+"
4,32,2,10,"Indipendenti","9-13","FullHD","IMAX",40,0,"Lavoratore Dipendente","F","51+"
4,32,3,4,"Commerciali","9-13","FullHD","Standard",40,0,"Lavoratore Dipendente","F","51+"
4,33,1,10,"Animazione","21-24","FullHD","3D",80,1,"Lavoratore Dipendente","F","51+"
4,33,2,10,"Animazione","9-13","4K","Standard",60,0,"Lavoratore Dipendente","F","51+"
4,33,3,7,"Animazione","15-19","FullHD","Standard",40,0,"Lavoratore Dipendente","F","51+"
4,34,1,10,"Animazione","9-13","FullHD","Standard",60,0,"Lavoratore Dipendente","F","51+"
4,34,2,10,"Commerciali","15-19","FullHD","3D",40,1,"Lavoratore Dipendente","F","51+"
4,34,3,10,"Indipendenti","15-19","4K","Standard",80,0,"Lavoratore Dipendente","F","51+"
4,35,1,10,"Commerciali","15-19","4K","3D",40,0,"Lavoratore Dipendente","F","51+"
4,35,2,4,"Indipendenti","21-24","FullHD","Standard",60,1,"Lavoratore Dipendente","F","51+"
4,35,3,7,"Commerciali","9-13","4K","3D",60,0,"Lavoratore Dipendente","F","51+"
4,36,1,4,"Commerciali","9-13","FullHD","Standard",40,0,"Lavoratore Dipendente","F","51+"
4,36,2,7,"Animazione","9-13","FullHD","IMAX",80,1,"Lavoratore Dipendente","F","51+"
4,36,3,7,"Animazione","9-13","4K","IMAX",80,0,"Lavoratore Dipendente","F","51+"
5,37,1,10,"Commerciali","21-24","FullHD","IMAX",60,0,"Lavoratore Dipendente","M","22-25"
5,37,2,7,"Indipendenti","15-19","4K","IMAX",60,0,"Lavoratore Dipendente","M","22-25"
5,37,3,10,"Animazione","21-24","FullHD","3D",80,1,"Lavoratore Dipendente","M","22-25"
5,38,1,4,"Commerciali","15-19","FullHD","IMAX",80,0,"Lavoratore Dipendente","M","22-25"
5,38,2,7,"Indipendenti","21-24","4K","3D",40,1,"Lavoratore Dipendente","M","22-25"
5,38,3,10,"Animazione","9-13","FullHD","Standard",60,0,"Lavoratore Dipendente","M","22-25"
5,39,1,4,"Animazione","21-24","4K","IMAX",40,1,"Lavoratore Dipendente","M","22-25"
5,39,2,7,"Animazione","15-19","4K","Standard",40,0,"Lavoratore Dipendente","M","22-25"
5,39,3,4,"Animazione","15-19","4K","3D",60,0,"Lavoratore Dipendente","M","22-25"
5,40,1,7,"Indipendenti","15-19","FullHD","IMAX",60,0,"Lavoratore Dipendente","M","22-25"
5,40,2,7,"Commerciali","21-24","FullHD","Standard",80,0,"Lavoratore Dipendente","M","22-25"
5,40,3,7,"Indipendenti","21-24","FullHD","3D",40,1,"Lavoratore Dipendente","M","22-25"
5,41,1,7,"Commerciali","21-24","4K","Standard",80,1,"Lavoratore Dipendente","M","22-25"
5,41,2,10,"Indipendenti","9-13","FullHD","IMAX",40,0,"Lavoratore Dipendente","M","22-25"
5,41,3,4,"Commerciali","9-13","FullHD","Standard",40,0,"Lavoratore Dipendente","M","22-25"
5,42,1,10,"Animazione","21-24","FullHD","3D",80,1,"Lavoratore Dipendente","M","22-25"
5,42,2,10,"Animazione","9-13","4K","Standard",60,0,"Lavoratore Dipendente","M","22-25"
5,42,3,7,"Animazione","15-19","FullHD","Standard",40,0,"Lavoratore Dipendente","M","22-25"
5,43,1,10,"Animazione","9-13","FullHD","Standard",60,0,"Lavoratore Dipendente","M","22-25"
5,43,2,10,"Commerciali","15-19","FullHD","3D",40,0,"Lavoratore Dipendente","M","22-25"
5,43,3,10,"Indipendenti","15-19","4K","Standard",80,1,"Lavoratore Dipendente","M","22-25"
5,44,1,10,"Commerciali","15-19","4K","3D",40,0,"Lavoratore Dipendente","M","22-25"
5,44,2,4,"Indipendenti","21-24","FullHD","Standard",60,1,"Lavoratore Dipendente","M","22-25"
5,44,3,7,"Commerciali","9-13","4K","3D",60,0,"Lavoratore Dipendente","M","22-25"
5,45,1,4,"Commerciali","9-13","FullHD","Standard",40,1,"Lavoratore Dipendente","M","22-25"
5,45,2,7,"Animazione","9-13","FullHD","IMAX",80,0,"Lavoratore Dipendente","M","22-25"
5,45,3,7,"Animazione","9-13","4K","IMAX",80,0,"Lavoratore Dipendente","M","22-25"
6,46,1,10,"Commerciali","21-24","FullHD","IMAX",60,1,"Lavoratore Dipendente","M","22-25"
6,46,2,7,"Indipendenti","15-19","4K","IMAX",60,0,"Lavoratore Dipendente","M","22-25"
6,46,3,10,"Animazione","21-24","FullHD","3D",80,0,"Lavoratore Dipendente","M","22-25"
6,47,1,4,"Commerciali","15-19","FullHD","IMAX",80,0,"Lavoratore Dipendente","M","22-25"
6,47,2,7,"Indipendenti","21-24","4K","3D",40,1,"Lavoratore Dipendente","M","22-25"
6,47,3,10,"Animazione","9-13","FullHD","Standard",60,0,"Lavoratore Dipendente","M","22-25"
6,48,1,4,"Animazione","21-24","4K","IMAX",40,1,"Lavoratore Dipendente","M","22-25"
6,48,2,7,"Animazione","15-19","4K","Standard",40,0,"Lavoratore Dipendente","M","22-25"
6,48,3,4,"Animazione","15-19","4K","3D",60,0,"Lavoratore Dipendente","M","22-25"
6,49,1,7,"Indipendenti","15-19","FullHD","IMAX",60,0,"Lavoratore Dipendente","M","22-25"
6,49,2,7,"Commerciali","21-24","FullHD","Standard",80,0,"Lavoratore Dipendente","M","22-25"
6,49,3,7,"Indipendenti","21-24","FullHD","3D",40,1,"Lavoratore Dipendente","M","22-25"
6,50,1,7,"Commerciali","21-24","4K","Standard",80,0,"Lavoratore Dipendente","M","22-25"
6,50,2,10,"Indipendenti","9-13","FullHD","IMAX",40,0,"Lavoratore Dipendente","M","22-25"
6,50,3,4,"Commerciali","9-13","FullHD","Standard",40,1,"Lavoratore Dipendente","M","22-25"
6,51,1,10,"Animazione","21-24","FullHD","3D",80,0,"Lavoratore Dipendente","M","22-25"
6,51,2,10,"Animazione","9-13","4K","Standard",60,0,"Lavoratore Dipendente","M","22-25"
6,51,3,7,"Animazione","15-19","FullHD","Standard",40,1,"Lavoratore Dipendente","M","22-25"
6,52,1,10,"Animazione","9-13","FullHD","Standard",60,0,"Lavoratore Dipendente","M","22-25"
6,52,2,10,"Commerciali","15-19","FullHD","3D",40,1,"Lavoratore Dipendente","M","22-25"
6,52,3,10,"Indipendenti","15-19","4K","Standard",80,0,"Lavoratore Dipendente","M","22-25"
6,53,1,10,"Commerciali","15-19","4K","3D",40,1,"Lavoratore Dipendente","M","22-25"
6,53,2,4,"Indipendenti","21-24","FullHD","Standard",60,0,"Lavoratore Dipendente","M","22-25"
6,53,3,7,"Commerciali","9-13","4K","3D",60,0,"Lavoratore Dipendente","M","22-25"
6,54,1,4,"Commerciali","9-13","FullHD","Standard",40,1,"Lavoratore Dipendente","M","22-25"
6,54,2,7,"Animazione","9-13","FullHD","IMAX",80,0,"Lavoratore Dipendente","M","22-25"
6,54,3,7,"Animazione","9-13","4K","IMAX",80,0,"Lavoratore Dipendente","M","22-25"
7,55,1,10,"Commerciali","21-24","FullHD","IMAX",60,1,"Studente","M","22-25"
7,55,2,7,"Indipendenti","15-19","4K","IMAX",60,0,"Studente","M","22-25"
7,55,3,10,"Animazione","21-24","FullHD","3D",80,0,"Studente","M","22-25"
7,56,1,4,"Commerciali","15-19","FullHD","IMAX",80,0,"Studente","M","22-25"
7,56,2,7,"Indipendenti","21-24","4K","3D",40,1,"Studente","M","22-25"
7,56,3,10,"Animazione","9-13","FullHD","Standard",60,0,"Studente","M","22-25"
7,57,1,4,"Animazione","21-24","4K","IMAX",40,1,"Studente","M","22-25"
7,57,2,7,"Animazione","15-19","4K","Standard",40,0,"Studente","M","22-25"
7,57,3,4,"Animazione","15-19","4K","3D",60,0,"Studente","M","22-25"
7,58,1,7,"Indipendenti","15-19","FullHD","IMAX",60,0,"Studente","M","22-25"
7,58,2,7,"Commerciali","21-24","FullHD","Standard",80,0,"Studente","M","22-25"
7,58,3,7,"Indipendenti","21-24","FullHD","3D",40,1,"Studente","M","22-25"
7,59,1,7,"Commerciali","21-24","4K","Standard",80,0,"Studente","M","22-25"
7,59,2,10,"Indipendenti","9-13","FullHD","IMAX",40,1,"Studente","M","22-25"
7,59,3,4,"Commerciali","9-13","FullHD","Standard",40,0,"Studente","M","22-25"
7,60,1,10,"Animazione","21-24","FullHD","3D",80,0,"Studente","M","22-25"
7,60,2,10,"Animazione","9-13","4K","Standard",60,0,"Studente","M","22-25"
7,60,3,7,"Animazione","15-19","FullHD","Standard",40,1,"Studente","M","22-25"
7,61,1,10,"Animazione","9-13","FullHD","Standard",60,0,"Studente","M","22-25"
7,61,2,10,"Commerciali","15-19","FullHD","3D",40,1,"Studente","M","22-25"
7,61,3,10,"Indipendenti","15-19","4K","Standard",80,0,"Studente","M","22-25"
7,62,1,10,"Commerciali","15-19","4K","3D",40,1,"Studente","M","22-25"
7,62,2,4,"Indipendenti","21-24","FullHD","Standard",60,0,"Studente","M","22-25"
7,62,3,7,"Commerciali","9-13","4K","3D",60,0,"Studente","M","22-25"
7,63,1,4,"Commerciali","9-13","FullHD","Standard",40,0,"Studente","M","22-25"
7,63,2,7,"Animazione","9-13","FullHD","IMAX",80,0,"Studente","M","22-25"
7,63,3,7,"Animazione","9-13","4K","IMAX",80,1,"Studente","M","22-25"
8,64,1,10,"Commerciali","21-24","FullHD","IMAX",60,1,"Lavoratore Dipendente","F","31-40"
8,64,2,7,"Indipendenti","15-19","4K","IMAX",60,0,"Lavoratore Dipendente","F","31-40"
8,64,3,10,"Animazione","21-24","FullHD","3D",80,0,"Lavoratore Dipendente","F","31-40"
8,65,1,4,"Commerciali","15-19","FullHD","IMAX",80,0,"Lavoratore Dipendente","F","31-40"
8,65,2,7,"Indipendenti","21-24","4K","3D",40,1,"Lavoratore Dipendente","F","31-40"
8,65,3,10,"Animazione","9-13","FullHD","Standard",60,0,"Lavoratore Dipendente","F","31-40"
8,66,1,4,"Animazione","21-24","4K","IMAX",40,0,"Lavoratore Dipendente","F","31-40"
8,66,2,7,"Animazione","15-19","4K","Standard",40,0,"Lavoratore Dipendente","F","31-40"
8,66,3,4,"Animazione","15-19","4K","3D",60,1,"Lavoratore Dipendente","F","31-40"
8,67,1,7,"Indipendenti","15-19","FullHD","IMAX",60,0,"Lavoratore Dipendente","F","31-40"
8,67,2,7,"Commerciali","21-24","FullHD","Standard",80,0,"Lavoratore Dipendente","F","31-40"
8,67,3,7,"Indipendenti","21-24","FullHD","3D",40,1,"Lavoratore Dipendente","F","31-40"
8,68,1,7,"Commerciali","21-24","4K","Standard",80,0,"Lavoratore Dipendente","F","31-40"
8,68,2,10,"Indipendenti","9-13","FullHD","IMAX",40,1,"Lavoratore Dipendente","F","31-40"
8,68,3,4,"Commerciali","9-13","FullHD","Standard",40,0,"Lavoratore Dipendente","F","31-40"
8,69,1,10,"Animazione","21-24","FullHD","3D",80,1,"Lavoratore Dipendente","F","31-40"
8,69,2,10,"Animazione","9-13","4K","Standard",60,0,"Lavoratore Dipendente","F","31-40"
8,69,3,7,"Animazione","15-19","FullHD","Standard",40,0,"Lavoratore Dipendente","F","31-40"
8,70,1,10,"Animazione","9-13","FullHD","Standard",60,0,"Lavoratore Dipendente","F","31-40"
8,70,2,10,"Commerciali","15-19","FullHD","3D",40,1,"Lavoratore Dipendente","F","31-40"
8,70,3,10,"Indipendenti","15-19","4K","Standard",80,0,"Lavoratore Dipendente","F","31-40"
8,71,1,10,"Commerciali","15-19","4K","3D",40,1,"Lavoratore Dipendente","F","31-40"
8,71,2,4,"Indipendenti","21-24","FullHD","Standard",60,0,"Lavoratore Dipendente","F","31-40"
8,71,3,7,"Commerciali","9-13","4K","3D",60,0,"Lavoratore Dipendente","F","31-40"
8,72,1,4,"Commerciali","9-13","FullHD","Standard",40,1,"Lavoratore Dipendente","F","31-40"
8,72,2,7,"Animazione","9-13","FullHD","IMAX",80,0,"Lavoratore Dipendente","F","31-40"
8,72,3,7,"Animazione","9-13","4K","IMAX",80,0,"Lavoratore Dipendente","F","31-40"
9,73,1,10,"Commerciali","21-24","FullHD","IMAX",60,1,"Studente","F","22-25"
9,73,2,7,"Indipendenti","15-19","4K","IMAX",60,0,"Studente","F","22-25"
9,73,3,10,"Animazione","21-24","FullHD","3D",80,0,"Studente","F","22-25"
9,74,1,4,"Commerciali","15-19","FullHD","IMAX",80,0,"Studente","F","22-25"
9,74,2,7,"Indipendenti","21-24","4K","3D",40,1,"Studente","F","22-25"
9,74,3,10,"Animazione","9-13","FullHD","Standard",60,0,"Studente","F","22-25"
9,75,1,4,"Animazione","21-24","4K","IMAX",40,1,"Studente","F","22-25"
9,75,2,7,"Animazione","15-19","4K","Standard",40,0,"Studente","F","22-25"
9,75,3,4,"Animazione","15-19","4K","3D",60,0,"Studente","F","22-25"
9,76,1,7,"Indipendenti","15-19","FullHD","IMAX",60,0,"Studente","F","22-25"
9,76,2,7,"Commerciali","21-24","FullHD","Standard",80,0,"Studente","F","22-25"
9,76,3,7,"Indipendenti","21-24","FullHD","3D",40,1,"Studente","F","22-25"
9,77,1,7,"Commerciali","21-24","4K","Standard",80,1,"Studente","F","22-25"
9,77,2,10,"Indipendenti","9-13","FullHD","IMAX",40,0,"Studente","F","22-25"
9,77,3,4,"Commerciali","9-13","FullHD","Standard",40,0,"Studente","F","22-25"
9,78,1,10,"Animazione","21-24","FullHD","3D",80,1,"Studente","F","22-25"
9,78,2,10,"Animazione","9-13","4K","Standard",60,0,"Studente","F","22-25"
9,78,3,7,"Animazione","15-19","FullHD","Standard",40,0,"Studente","F","22-25"
9,79,1,10,"Animazione","9-13","FullHD","Standard",60,0,"Studente","F","22-25"
9,79,2,10,"Commerciali","15-19","FullHD","3D",40,1,"Studente","F","22-25"
9,79,3,10,"Indipendenti","15-19","4K","Standard",80,0,"Studente","F","22-25"
9,80,1,10,"Commerciali","15-19","4K","3D",40,0,"Studente","F","22-25"
9,80,2,4,"Indipendenti","21-24","FullHD","Standard",60,1,"Studente","F","22-25"
9,80,3,7,"Commerciali","9-13","4K","3D",60,0,"Studente","F","22-25"
9,81,1,4,"Commerciali","9-13","FullHD","Standard",40,1,"Studente","F","22-25"
9,81,2,7,"Animazione","9-13","FullHD","IMAX",80,0,"Studente","F","22-25"
9,81,3,7,"Animazione","9-13","4K","IMAX",80,0,"Studente","F","22-25"
10,82,1,10,"Commerciali","21-24","FullHD","IMAX",60,0,"Studente","F","22-25"
10,82,2,7,"Indipendenti","15-19","4K","IMAX",60,1,"Studente","F","22-25"
10,82,3,10,"Animazione","21-24","FullHD","3D",80,0,"Studente","F","22-25"
10,83,1,4,"Commerciali","15-19","FullHD","IMAX",80,0,"Studente","F","22-25"
10,83,2,7,"Indipendenti","21-24","4K","3D",40,1,"Studente","F","22-25"
10,83,3,10,"Animazione","9-13","FullHD","Standard",60,0,"Studente","F","22-25"
10,84,1,4,"Animazione","21-24","4K","IMAX",40,1,"Studente","F","22-25"
10,84,2,7,"Animazione","15-19","4K","Standard",40,0,"Studente","F","22-25"
10,84,3,4,"Animazione","15-19","4K","3D",60,0,"Studente","F","22-25"
10,85,1,7,"Indipendenti","15-19","FullHD","IMAX",60,0,"Studente","F","22-25"
10,85,2,7,"Commerciali","21-24","FullHD","Standard",80,0,"Studente","F","22-25"
10,85,3,7,"Indipendenti","21-24","FullHD","3D",40,1,"Studente","F","22-25"
10,86,1,7,"Commerciali","21-24","4K","Standard",80,0,"Studente","F","22-25"
10,86,2,10,"Indipendenti","9-13","FullHD","IMAX",40,1,"Studente","F","22-25"
10,86,3,4,"Commerciali","9-13","FullHD","Standard",40,0,"Studente","F","22-25"
10,87,1,10,"Animazione","21-24","FullHD","3D",80,0,"Studente","F","22-25"
10,87,2,10,"Animazione","9-13","4K","Standard",60,0,"Studente","F","22-25"
10,87,3,7,"Animazione","15-19","FullHD","Standard",40,1,"Studente","F","22-25"
10,88,1,10,"Animazione","9-13","FullHD","Standard",60,0,"Studente","F","22-25"
10,88,2,10,"Commerciali","15-19","FullHD","3D",40,0,"Studente","F","22-25"
10,88,3,10,"Indipendenti","15-19","4K","Standard",80,1,"Studente","F","22-25"
10,89,1,10,"Commerciali","15-19","4K","3D",40,0,"Studente","F","22-25"
10,89,2,4,"Indipendenti","21-24","FullHD","Standard",60,1,"Studente","F","22-25"
10,89,3,7,"Commerciali","9-13","4K","3D",60,0,"Studente","F","22-25"
10,90,1,4,"Commerciali","9-13","FullHD","Standard",40,1,"Studente","F","22-25"
10,90,2,7,"Animazione","9-13","FullHD","IMAX",80,0,"Studente","F","22-25"
10,90,3,7,"Animazione","9-13","4K","IMAX",80,0,"Studente","F","22-25"
11,91,1,10,"Commerciali","21-24","FullHD","IMAX",60,1,"Studente","F","22-25"
11,91,2,7,"Indipendenti","15-19","4K","IMAX",60,0,"Studente","F","22-25"
11,91,3,10,"Animazione","21-24","FullHD","3D",80,0,"Studente","F","22-25"
11,92,1,4,"Commerciali","15-19","FullHD","IMAX",80,1,"Studente","F","22-25"
11,92,2,7,"Indipendenti","21-24","4K","3D",40,0,"Studente","F","22-25"
11,92,3,10,"Animazione","9-13","FullHD","Standard",60,0,"Studente","F","22-25"
11,93,1,4,"Animazione","21-24","4K","IMAX",40,1,"Studente","F","22-25"
11,93,2,7,"Animazione","15-19","4K","Standard",40,0,"Studente","F","22-25"
11,93,3,4,"Animazione","15-19","4K","3D",60,0,"Studente","F","22-25"
11,94,1,7,"Indipendenti","15-19","FullHD","IMAX",60,0,"Studente","F","22-25"
11,94,2,7,"Commerciali","21-24","FullHD","Standard",80,1,"Studente","F","22-25"
11,94,3,7,"Indipendenti","21-24","FullHD","3D",40,0,"Studente","F","22-25"
11,95,1,7,"Commerciali","21-24","4K","Standard",80,1,"Studente","F","22-25"
11,95,2,10,"Indipendenti","9-13","FullHD","IMAX",40,0,"Studente","F","22-25"
11,95,3,4,"Commerciali","9-13","FullHD","Standard",40,0,"Studente","F","22-25"
11,96,1,10,"Animazione","21-24","FullHD","3D",80,0,"Studente","F","22-25"
11,96,2,10,"Animazione","9-13","4K","Standard",60,0,"Studente","F","22-25"
11,96,3,7,"Animazione","15-19","FullHD","Standard",40,1,"Studente","F","22-25"
11,97,1,10,"Animazione","9-13","FullHD","Standard",60,0,"Studente","F","22-25"
11,97,2,10,"Commerciali","15-19","FullHD","3D",40,0,"Studente","F","22-25"
11,97,3,10,"Indipendenti","15-19","4K","Standard",80,1,"Studente","F","22-25"
11,98,1,10,"Commerciali","15-19","4K","3D",40,0,"Studente","F","22-25"
11,98,2,4,"Indipendenti","21-24","FullHD","Standard",60,1,"Studente","F","22-25"
11,98,3,7,"Commerciali","9-13","4K","3D",60,0,"Studente","F","22-25"
11,99,1,4,"Commerciali","9-13","FullHD","Standard",40,0,"Studente","F","22-25"
11,99,2,7,"Animazione","9-13","FullHD","IMAX",80,0,"Studente","F","22-25"
11,99,3,7,"Animazione","9-13","4K","IMAX",80,1,"Studente","F","22-25"
12,100,1,10,"Commerciali","21-24","FullHD","IMAX",60,1,"Studente","F","22-25"
